,text,sentiment,site
700,also phone seem accept anything except cbr mp preferably ripped window medium player,0,Amazon
701,beat price,1,Amazon
702,come strong light use light camera shot even flash so signal seriously,1,Amazon
703,lightweight work well,1,Amazon
704,beware,0,Amazon
705,love cable allows connect mini usb device pc,1,Amazon
706,anyone near hear part conversation,0,Amazon
707,cool case open allowing screen get scratched,1,Amazon
708,bought phone replacement startac regretted since,0,Amazon
709,appears actually outperform original battery china came v,1,Amazon
710,store anything phone number sim,0,Amazon
711,last less minute actually try use phone wife phone problem,0,Amazon
712,poor quality,0,Amazon
713,jabra ear gel r best,1,Amazon
714,worth,0,Amazon
715,phone crashed completely get replaced,0,Amazon
716,quit working used month purchased another one best headset ever owned,1,Amazon
717,unfortunately recharge iphone despite connecting multiple power source imac external battery wall outlet etc,0,Amazon
718,great phone,1,Amazon
719,simply want small flip phone look elsewhere extra bell whistle mediocre,0,Amazon
720,good value work fine power via usb car wall outlet,1,Amazon
721,phone slide around car grip prevents phone slipping hand,1,Amazon
722,simply best bluetooth headset sound quality,1,Amazon
723,think plan one sure last moto phone,0,Amazon
724,span hour two people exclaim whoa new phone tv,1,Amazon
725,always used corded headset freedom wireless helpful,1,Amazon
726,case passed one year mark show sign wear functional,1,Amazon
727,leather nice soft fit tight cut face good shape,1,Amazon
728,everything need ask,1,Amazon
729,receiving using product one day broke,0,Amazon
730,product great make working lot easier go copier waiting hold something,1,Amazon
731,none three size sent headset would stay ear,0,Amazon
732,mobile best customer service anywhere,1,Amazon
733,arrived quickly much less expensive others sold,1,Amazon
734,tried one unit failed within one month pro,0,Amazon
735,provides good protection look classy,1,Amazon
736,krussel always good,1,Amazon
737,tracfonewebsite user friendly make easy toactivate etc,1,Amazon
738,design good four,1,Amazon
739,great reception time,1,Amazon
740,would highly recommend product,1,Amazon
741,use unit sunglass good texas,0,Amazon
742,dit work time nokia,0,Amazon
743,bought mainly charger broke soon purchasing,0,Amazon
744,like loud buzzing override conversation phone,0,Amazon
745,fantastic buy get whatever next phone,1,Amazon
746,stay away store careful,0,Amazon
747,blueant supertooth hand free phone speaker awesome,1,Amazon
748,fit,0,Amazon
749,item arrived quickly work great metro pc samsung sch r slider phone sony premium sound ear plug,1,Amazon
750,light plenty battery capacity confortable wear somewhat extended period time,1,Amazon
751,disappointing,0,Amazon
752,blue ant easy use,1,Amazon
753,cheap hey work pleasantly suprised given low cost item,1,Amazon
754,camera phone may used dustpan indoors rather using disposable,0,Amazon
755,day later puff smoke came phone use,0,Amazon
756,convenient simple use get job done make car ride much smoother,1,Amazon
757,nano stated son dissapointed,0,Amazon
758,sound quality excellent well,1,Amazon
759,best headset used,1,Amazon
760,would reccommend,0,Amazon
761,around year carry highest quality anti glare screen protector found date,1,Amazon
762,wanted,1,Amazon
763,particular model would work motorola q smartphone,0,Amazon
764,wont work right atleast,0,Amazon
765,addition feel amp look phone lightweight cheap plastic,0,Amazon
766,warranty problem reoccure bottom line put money somewhere else cingular support,0,Amazon
767,really wanted plantronics right one many issue good,0,Amazon
768,great product,1,Amazon
769,crisp clear,1,Amazon
770,first charge kept going dead minute,0,Amazon
771,cheap plastic creak like old wooden floor,0,Amazon
772,get absolutely horrible reception apartment phone problem,0,Amazon
773,reception generally good,1,Amazon
774,excellent sound battery life inconspicuous boot,1,Amazon
775,great bluetooth,1,Amazon
776,highly recommend case,1,Amazon
777,worthwhile,1,Amazon
778,great deal,1,Amazon
779,phone got year old slowly breaking despite much care part,0,Amazon
780,sorry made purchase,0,Amazon
781,bought hoping could make bluetooth headset fit better thing made impossible wear,0,Amazon
782,treo mobile refused replace forced buy another phone without kind upgrade discount,0,Amazon
783,horrible,0,Amazon
784,think would hold securly belt,0,Amazon
785,allows possibility double booking date time first,0,Amazon
786,work one week break,0,Amazon
787,simple use like,1,Amazon
788,great tool entertainment communication data management oh sure use activesync four one optimal data synchronization result,1,Amazon
789,use case smell disgusting,0,Amazon
790,wanted,0,Amazon
791,one case would order another,1,Amazon
792,great phone,1,Amazon
793,bought battery coupon amazon happy purchase,1,Amazon
794,internet access fine rare instance worked,0,Amazon
795,perfect p,1,Amazon
796,five star plus plus,1,Amazon
797,good quality bargain bought bought cheapy big lot sounded awful people end hear,1,Amazon
798,drain,0,Amazon
799,tried talking real loud shouting telephone get old still told great,0,Amazon
800,good work fine,1,Amazon
801,price great deal,1,Amazon
802,great price,1,Amazon
803,wind completely useless,0,Amazon
804,yes shiny front side love,1,Amazon
805,work,0,Amazon
806,first thought grtting good deal seven plugged phone v c razr,0,Amazon
807,reception headset excellent,1,Amazon
808,one thumb seller,1,Amazon
809,verizon lg phone work well together good reception range exceeds foot line sight,1,Amazon
810,improper description return,0,Amazon
811,work one comfortable,1,Amazon
812,battery charge life quite long,1,Amazon
813,jabra eargels fit ear well,1,Amazon
814,battery life,0,Amazon
815,checked everywhere feature really disappointing,0,Amazon
816,product exactly described,1,Amazon
817,get signal verizon phone,1,Amazon
818,job,0,Amazon
819,would recommend,1,Amazon
820,plan ordering,1,Amazon
821,said phone camera nice many cool effect play video decent well,1,Amazon
822,satisfied cell phone day one,1,Amazon
823,keep getting better better third one numerous palm,1,Amazon
824,awkward use unreliable,0,Amazon
825,shipping time also quick,1,Amazon
826,good hoped,0,Amazon
827,good case,1,Amazon
828,work,0,Amazon
829,really good product,1,Amazon
830,unfortunately work,0,Amazon
831,three broke within two month use,0,Amazon
832,dont buy,0,Amazon
833,father v battery dying,0,Amazon
834,however ear pad come easily one week lost one,0,Amazon
835,call drop phone come screen go black worst stop ringing intermittently,0,Amazon
836,horrible horrible protector,0,Amazon
837,like nokia either,0,Amazon
838,reaching bottom row uncomfortable send end key expect two,0,Amazon
839,bought nokia cell phone week ago nightmare,0,Amazon
840,would take long describe bad customer service experience amazon,0,Amazon
841,disappointing thing speakerphone,0,Amazon
842,terrible car accept cassette,0,Amazon
843,product useless since enough charging current charge one cellphone planning use,0,Amazon
844,say,0,Amazon
845,stay away q,0,Amazon
846,used dirty,0,Amazon
847,unreliable service mobile,0,Amazon
848,good enough price,0,Amazon
849,bought two neither charge,0,Amazon
850,look nice,1,Amazon
851,excellent tool especially paired phone auto answer,1,Amazon
852,read review problem,1,Amazon
853,product cover important light sensor ear outlet,0,Amazon
854,comfortable hand,1,Amazon
855,work,0,Amazon
856,poor reliability,0,Amazon
857,work,1,Amazon
858,take picture battery drop bar start beeping letting know dieing,0,Amazon
859,terrible product waste money,0,Amazon
860,last time buying,0,Amazon
861,waste money,0,Amazon
862,far worked like charm,1,Amazon
863,week far good,1,Amazon
864,case best part download picture laptop using ir even send picture laptop phone,1,Amazon
865,would recommend item,1,Amazon
866,choice headset year great sound good volume good noise cancellation,1,Amazon
867,nice case feel good hand,1,Amazon
868,item received counterfeit,0,Amazon
869,really good far probably best bt headset ever,1,Amazon
870,work fine,1,Amazon
871,received headset good time happy,1,Amazon
872,pleased see could replace well travled swivel holster blackberry flip,1,Amazon
873,sister one also love,1,Amazon
874,good quality,1,Amazon
875,far worst purchase made amazon,0,Amazon
876,excellent dual purpose headset,1,Amazon
877,excellent,1,Amazon
878,work listening music cingular,0,Amazon
879,seems completely secure holding belt keeping iphone inside,1,Amazon
880,bottowm line another worthless cheap gimmick sprint,0,Amazon
881,trouble volume,0,Amazon
882,good thing fit comfortably small ear,1,Amazon
883,warning buy,0,Amazon
884,pairing iphone could happier far,1,Amazon
885,open battery connection broken device turned,0,Amazon
886,want clip going top ear causing discomfort,0,Amazon
887,best headset ever,1,Amazon
888,trust website expect helpful support,0,Amazon
889,loud glad say plantronics maintains flawless connection cell static normal use,1,Amazon
890,speaker low quality making ring tone sound cheap,0,Amazon
891,fit comfortably came three size earbud tip,1,Amazon
892,excellent product price,1,Amazon
893,bad reception,0,Amazon
894,product high quality chinese crap,0,Amazon
895,quite comfortable ear,1,Amazon
896,great phone,1,Amazon
897,buy product fails,0,Amazon
898,everything product wrong first,0,Amazon
899,pairing two device easy barely took couple minute started making call voice dialing feature,1,Amazon
900,utterly confusing first caused lose couple important contact,0,Amazon
901,terrible phone holder,0,Amazon
902,cutout button placed perfectly,1,Amazon
903,love able use one headset land line cell,1,Amazon
904,problem ear loop made weak material break easily,0,Amazon
905,nearly good looking amazon picture make look,0,Amazon
906,despite flaw case exceptional quality well worth additional cost owning official oem product,1,Amazon
907,stupid,0,Amazon
908,hear driving car usually even put loudest setting,1,Amazon
909,seller shipped quickly much cheaper competitor,1,Amazon
910,good show samsung,1,Amazon
911,bought ten saved alot money,1,Amazon
912,always cut make beep beep beep sound say signal failed,0,Amazon
913,figure,0,Amazon
914,phone sounded ok great ok wife phone almost totally unintelligible understand word said,0,Amazon
915,take battery phone put back together restart,0,Amazon
916,managed bend leaf spring back place metal enough stress break next drop,0,Amazon
917,leopard print wonderfully wild,1,Amazon
918,work,1,Amazon
919,saggy floppy piece junk,0,Amazon
920,much better hard plastic case,1,Amazon
921,also new problem,0,Amazon
922,happy far,1,Amazon
923,cool phone,1,Amazon
924,work good,1,Amazon
925,motorola finally got voice quality bluetooth headset right,1,Amazon
926,loos connection phone even within couple foot two,0,Amazon
927,great would really recommend,1,Amazon
928,make easier keep bluetooth wearing,0,Amazon
929,said pretty useless,0,Amazon
930,never got,0,Amazon
931,pair headphone worst ever sound wise,0,Amazon
932,drain weak snap,0,Amazon
933,charge cingular att phone,0,Amazon
934,get extra minute carry call get cut,1,Amazon
935,however year fliptop started get loose wobbly eventually screen went black receive place call,0,Amazon
936,kept catching cable seat pull phone turn,0,Amazon
937,headset fulfills requirement happy purchase,1,Amazon
938,logitech bluetooth headset ten,1,Amazon
939,like fact rest lightly ear rather inside,1,Amazon
940,lot website rating good phone,1,Amazon
941,tried cable computer ipod work fine,1,Amazon
942,mic joke volume quite low,0,Amazon
943,returning,0,Amazon
944,maintain connection computer lap,0,Amazon
945,easy turn car volume control quite accessable,1,Amazon
946,mine year christmas bought rest family,1,Amazon
947,otherwise easy install use clear sound,1,Amazon
948,nice leather,1,Amazon
949,purchase different case,0,Amazon
950,joy use,1,Amazon
951,much disappointed company,0,Amazon
952,satisifed,1,Amazon
953,charge,0,Amazon
954,phone get bought say wow,1,Amazon
955,button small,0,Amazon
956,reading spec alone make say wow,1,Amazon
957,love great armband,1,Amazon
958,really like product motorola allot clearer ear piece mic,1,Amazon
959,however keypad tinny sometimes reach wrong button,0,Amazon
960,exchanged sony ericson z pretty happy decision,1,Amazon
961,impressed price case,1,Amazon
962,also make easier hold,1,Amazon
963,use product motor control center lot high voltage humming equipment work great,1,Amazon
964,pretty easy,1,Amazon
965,cannot make call certain place,0,Amazon
966,however girl complain time phone wake like normal phone,0,Amazon
967,beautiful styling though,1,Amazon
968,company charge restocking fee still given refund back,0,Amazon
969,trying return refund,0,Amazon
970,plugged find darn thing worked,0,Amazon
971,excellent product,1,Amazon
972,earbud piece break easily,0,Amazon
973,lousy product,0,Amazon
974,phone try hard everything fails ability phone,0,Amazon
975,best charger seen market yet,1,Amazon
976,sweetest phone,1,Amazon
977,oh charger seems work fine,1,Amazon
978,fit securely ear hook even need used sound better directed ear canal,1,Amazon
979,enough volume,0,Amazon
980,echo problem unsatisfactory,0,Amazon
981,could take one video time quality poor,0,Amazon
982,waste money,0,Amazon
983,going first negatively review product,0,Amazon
984,adapter provide enough charging current,0,Amazon
985,much hype phone assumed best mistake,0,Amazon
986,also cannot take picture case lense covered,0,Amazon
987,phone fall easily,0,Amazon
988,work people hear talk,0,Amazon
989,text messaging feature really tricky use,0,Amazon
990,really disappointed charger work,0,Amazon
991,painful ear,0,Amazon
992,lasted one day blew,0,Amazon
993,disappointed,0,Amazon
994,kind flop around,0,Amazon
995,screen get smudged easily touch ear face,0,Amazon
996,piece junk lose call phone,0,Amazon
997,item match picture,0,Amazon
998,thing disappoint infra red port irda,0,Amazon
999,answer call unit never worked,0,Amazon
1000,slow moving aimless movie distressed drifting young man,0,Imdb
1001,sure lost flat character audience nearly half walked,0,Imdb
1002,attempting artiness black white clever camera angle movie disappointed became even ridiculous acting poor plot line almost non existent,0,Imdb
1003,little music anything speak,0,Imdb
1004,best scene movie gerardo trying find song keep running head,1,Imdb
1005,rest movie lack art charm meaning emptiness work guess empty,0,Imdb
1006,wasted two hour,0,Imdb
1007,saw movie today thought good effort good message kid,1,Imdb
1008,bit predictable,0,Imdb
1009,loved casting jimmy buffet science teacher,1,Imdb
1010,baby owl adorable,1,Imdb
1011,movie showed lot florida best made look appealing,1,Imdb
1012,song best muppets hilarious,1,Imdb
1013,cool,1,Imdb
1014,right case movie delivers everything almost right face,1,Imdb
1015,average acting main person low budget clearly see,0,Imdb
1016,review long overdue since consider tale two sister single greatest film ever made,1,Imdb
1017,put gem movie term screenplay cinematography acting post production editing directing aspect film making,1,Imdb
1018,practically perfect true masterpiece sea faux masterpiece,1,Imdb
1019,structure film easily tightly constructed history cinema,1,Imdb
1020,think film something vitally important occurs every minute,1,Imdb
1021,word content level film enough easily fill dozen film,1,Imdb
1022,anyone right mind ask anything movie,1,Imdb
1023,quite simply highest superlative form cinema imaginable,1,Imdb
1024,yes film require rather significant amount puzzle solving piece fit together create beautiful picture,1,Imdb
1025,short film certainly pull punch,0,Imdb
1026,graphic far best part game,0,Imdb
1027,number one best th game series,1,Imdb
1028,deserves strong love,1,Imdb
1029,insane game,1,Imdb
1030,massive level massive unlockable character massive game,1,Imdb
1031,waste money game,1,Imdb
1032,kind money wasted properly,1,Imdb
1033,actually graphic good time,1,Imdb
1034,today graphic crap,0,Imdb
1035,say canada fun game aye,1,Imdb
1036,game rock,1,Imdb
1037,buy play enjoy love,1,Imdb
1038,pure brilliance,1,Imdb
1039,flick doomed conception,0,Imdb
1040,idea lame take minor character mediocre pg film make complete non sequel changing tone pg rated family movie,0,Imdb
1041,least bit interested,0,Imdb
1042,confirm film would unfunny generic also managed give away entire movie exaggerating every moment every plot point every joke told trailer,0,Imdb
1043,funny,0,Imdb
1044,even talented carrell save,0,Imdb
1045,co star fare much better people like morgan freeman jonah hill ed helm wasted,0,Imdb
1046,story predictable lazy,0,Imdb
1047,real effect work presence animal integration scene worst obvious blue green screen work ever seen,0,Imdb
1048,whatever cost much translate quality sure,0,Imdb
1049,film succeeds despite perhaps obviously meagre budget,1,Imdb
1050,glad film go obvious choice lesser film certainly would,1,Imdb
1051,addition one lovely song ever written french cancan also boast one cutest leading lady ever grace screen,1,Imdb
1052,hard fall head heel love girl,1,Imdb
1053,negative insipid enough cause regret another one hour life wasted front screen,0,Imdb
1054,long whiny pointless,0,Imdb
1055,recommend waiting future effort let one go,0,Imdb
1056,excellent cast story line performance,1,Imdb
1057,totally believable,1,Imdb
1058,anne heche utterly convincing,1,Imdb
1059,sam shepard portrayal gung ho marine sobering,1,Imdb
1060,sat riveted tv screen,1,Imdb
1061,give one resounding nine ten,1,Imdb
1062,think tom hank good actor,1,Imdb
1063,enjoyed reading book child little,1,Imdb
1064,disappointed movie,0,Imdb
1065,one character totally annoying voice give feeling fingernail chalkboard,0,Imdb
1066,totally unnecessary train roller coaster scene,0,Imdb
1067,absolutely warmth charm scene character,0,Imdb
1068,movie totally grate nerve,0,Imdb
1069,performance improved improvisation actor twice much worry whether delivering line well whether line good,0,Imdb
1070,quite honestly often good,0,Imdb
1071,often dialogue really follow one line another fit surroundings,0,Imdb
1072,crackle unpredictable youthful energy honestly found hard follow concentrate meander badly,0,Imdb
1073,generally great thing,1,Imdb
1074,say worth one hour time though,0,Imdb
1075,suspense builder good cross line g pg,1,Imdb
1076,especially liked non cliche choice parent movie could predict dialog verbatim writing movie made better selection,1,Imdb
1077,want movie gross give chill great choice,1,Imdb
1078,alexander nevsky great film,1,Imdb
1079,amazing film artist one important whoever lived,1,Imdb
1080,glad pretentious piece planned dodge stratus big shot gonna help movie maker restrained movie business qu bec,0,Imdb
1081,first movie given ten year,1,Imdb
1082,ever movie needed word mouth promote,1,Imdb
1083,overall film interesting thought provoking,1,Imdb
1084,plus well paced suited relatively short run time,1,Imdb
1085,give one look,1,Imdb
1086,gave ten,1,Imdb
1087,wind lion well written superbly acted,1,Imdb
1088,true classic,1,Imdb
1089,actually turned pretty decent far b list horror suspense film go,1,Imdb
1090,definitely worth checking,1,Imdb
1091,problem script,0,Imdb
1092,horrendous,0,Imdb
1093,nothing believable,0,Imdb
1094,suspense feeling frustration retarded girl,0,Imdb
1095,manna heaven terrific film predictable unpredictable time,1,Imdb
1096,scene often funny occasionally touching character evaluate life going,1,Imdb
1097,cast veteran actor nostalgia trip,1,Imdb
1098,ursula burton portrayal nun touching funny time making fun nun church,1,Imdb
1099,looking movie terrific cast good music including shirley jones rendition way look tonight uplifting ending give one try,1,Imdb
1100,think disappointed,1,Imdb
1101,frankly cotton club unfaithful kind embarrassing watch lane gere film bad,0,Imdb
1102,acting bad dialog extremely shallow insincere,0,Imdb
1103,predictable even chick flick,0,Imdb
1104,politically correct,0,Imdb
1105,disappointing,0,Imdb
1106,thing really worth watching scenery house beautiful,1,Imdb
1107,love lane never seen movie lousy,0,Imdb
1108,hour half wish could bring back,0,Imdb
1109,term writing fresh bold,1,Imdb
1110,acting help writing along well maybe idiot savant sister could played better real joy watch,1,Imdb
1111,directing cinematography quite good,0,Imdb
1112,movie boring sometimes found occupied peaking paper instead watching never happened columbo movie,0,Imdb
1113,sometimes embarrassing look away,0,Imdb
1114,directing seems pretentious,0,Imdb
1115,scene oh mature neighbour girl misplace,0,Imdb
1116,generally line plot weaker average episode,0,Imdb
1117,scene debated whether sack trumpeter falsely accused murder pure horror really stupid,0,Imdb
1118,applause given prelude however,1,Imdb
1119,really liked,1,Imdb
1120,great film great director,1,Imdb
1121,movie edge seat made somewhat afraid go car end night,1,Imdb
1122,music film really nice,1,Imdb
1123,advise anyone go see,1,Imdb
1124,brilliant,1,Imdb
1125,ten ten,1,Imdb
1126,liked movie way much,1,Imdb
1127,problem thought actor playing villain low rent michael ironside,0,Imdb
1128,rocked world certainly must see anyone social physical outlet,1,Imdb
1129,however make fact overall tremendously boring movie,0,Imdb
1130,chemistry ben affleck sandra bullock film understand would consider even leaving wife chick supposedly knocked,0,Imdb
1131,several moment movie need excruciatingly slow moving,0,Imdb
1132,poor remake best friend wedding,0,Imdb
1133,great disappointment,0,Imdb
1134,cannot believe actor agreed film,0,Imdb
1135,could stand even watch long fear losing q,0,Imdb
1136,guess nobody network aired dribble watched putting,0,Imdb
1137,imdb rating go low awful time get negative number case,0,Imdb
1138,saw mirrormask last night unsatisfactory experience,0,Imdb
1139,unfortunately inexperience direction meant scene scene passed little way dramatic tension conflict,0,Imdb
1140,central theme film handled ineptly stereotypically depth imagination,0,Imdb
1141,pretty picture world cannot make piece work flawed core,0,Imdb
1142,hour half waste time following bunch pretty high schoolers whine cry life,0,Imdb
1143,relate hell barely understand,0,Imdb
1144,definitely cult classic well worth viewing sharing others,1,Imdb
1145,movie pure disaster story stupid editing worst seen confuses incredibly,0,Imdb
1146,fish badly made underwater shot repeated thousand time film,0,Imdb
1147,truly truly bad film,0,Imdb
1148,acting terrible writing worse,0,Imdb
1149,possible way movie could redeemed would mst k fodder,0,Imdb
1150,paid much,0,Imdb
1151,also real treat see anthony quinn playing crazy horse,1,Imdb
1152,boring,0,Imdb
1153,plot whatsoever,0,Imdb
1154,plot,0,Imdb
1155,horrible,0,Imdb
1156,worst hour half life oh gosh,0,Imdb
1157,walk theatre minute get relief,0,Imdb
1158,hate movie like,0,Imdb
1159,yeah movie pretty much sucked,0,Imdb
1160,plot storyline,0,Imdb
1161,go see movie bring pillow girlfriend boyfriend keep occupied,0,Imdb
1162,awful,0,Imdb
1163,think ever gone movie disliked much,0,Imdb
1164,good thing ticket cost five dollar would mad paid seven see crap,0,Imdb
1165,nobody identifies character cardboard cutout stereotype predictably reverse stereotype,0,Imdb
1166,bad film bad writing good actor ugly cartoon crafted paul haggis people handle anything bold stroke storytelling picture painted crayon,0,Imdb
1167,crash depressing little nothing provokes emotion teach nothing already know racism prejudice bad thing,0,Imdb
1168,still like movie empowerment woman enough movie like one,1,Imdb
1169,brain attempt shut part primal impulse self preservation,0,Imdb
1170,left shattered experience watching film took good two hour fully recover,0,Imdb
1171,movie join revenge boogeyman zombiez part hellish trinity horror film,0,Imdb
1172,certainly mean distinction good way,0,Imdb
1173,mean terrible way,0,Imdb
1174,film redeeming feature,0,Imdb
1175,everything appalling,0,Imdb
1176,artless camera work endlessly present u ugliest setting imaginable e,0,Imdb
1177,story beyond stupid,0,Imdb
1178,script script,0,Imdb
1179,kid annoying,0,Imdb
1180,lead man charisma free,0,Imdb
1181,utterly without merit level akin torture,0,Imdb
1182,even say torture,0,Imdb
1183,maybe would reasonable explanation atrocity,0,Imdb
1184,pleasant voyage self discovery,0,Imdb
1185,highly unrecommended,0,Imdb
1186,premise sound stupid,0,Imdb
1187,yes bad,0,Imdb
1188,nothing recommend,0,Imdb
1189,excellent performance m,1,Imdb
1190,garbo showed right bat talent could carry silent era wanted see silent work netflix seem stocking,1,Imdb
1191,also great see renowned silent screenwriter france marion missed step going silent sound,1,Imdb
1192,movie suffered writing needed suspense,0,Imdb
1193,many close ups,0,Imdb
1194,movie seemed drag hero really work freedom,0,Imdb
1195,movie definitely average rent,0,Imdb
1196,love,1,Imdb
1197,movie bad,0,Imdb
1198,bad,0,Imdb
1199,film way long,0,Imdb
1200,definitely one bad one,0,Imdb
1201,movie received great quality film age,1,Imdb
1202,john wayne incredible job young movie industry,1,Imdb
1203,screen presence shined thought even though senior actor screen,1,Imdb
1204,think must see older john wayne film,1,Imdb
1205,really see anyone could enjoy movie,0,Imdb
1206,think ever seen movie half boring self indulgent piece junk,0,Imdb
1207,probably would better director spent movie showcasing art work really noteworthy,0,Imdb
1208,another thing really like character got punched face gallon blood would spew forth soon,0,Imdb
1209,jamie foxx absolutely ray charles,1,Imdb
1210,performance simply genius,1,Imdb
1211,owns film spacek owned coal miner daughter quaid owned great ball fire,1,Imdb
1212,fact hard remember part ray charles acted played man,1,Imdb
1213,ray charles legendary,1,Imdb
1214,ray charles life provided excellent biographical material film go well beyond another movie musician,1,Imdb
1215,hitchcock great director,1,Imdb
1216,ironically mostly find film total waste time watch,0,Imdb
1217,secondly hitchcock pretty much perfected thriller chase movie,1,Imdb
1218,pandering audience sabotage film,0,Imdb
1219,hence whole story lack certain energy,0,Imdb
1220,plot simply rumble like machine desperately depending addition new scene,0,Imdb
1221,usual hitchcock logic flaw,0,Imdb
1222,mishima extremely uninteresting,0,Imdb
1223,chilly unremarkable movie author living working chilly abstruse culture,0,Imdb
1224,flat reenactment hold attention emotionally adrift stagy,0,Imdb
1225,rest sits awful soldier singing song masculinity pledge hairsplitting purity admiration sword etc,0,Imdb
1226,bore piece kill momentum movie quicker anyone else,0,Imdb
1227,schrader made resume full lousy amateurish film,0,Imdb
1228,first watched movie loved,1,Imdb
1229,totally fascinated music dancing everything,1,Imdb
1230,however recently watched whole thing dvd completely struck extremely stupid storyline contained hole inconsistency frankly whole lot crap horrid dancing,0,Imdb
1231,mean realistic world would never gotten ballet repertory whole thing quite pathetic,0,Imdb
1232,character development also lacked depth,0,Imdb
1233,woa talk awful,0,Imdb
1234,waste time,0,Imdb
1235,horrible,0,Imdb
1236,worst sappiest dialogue could go,0,Imdb
1237,really made unwatchable direction,0,Imdb
1238,poor actor,0,Imdb
1239,even tell talent pathetic line speak director gave action,0,Imdb
1240,check director filmography site see film chance,0,Imdb
1241,would even good made tv flick,0,Imdb
1242,good intention made film great film might one greatest film ever made,1,Imdb
1243,film great actor master director significant theme least would significant theme undertone fifty existential world weariness aerial scene ought thrilled sens imagination character one might deeply care,1,Imdb
1244,regrettably film fails,0,Imdb
1245,movie lack visual interest drama expression feeling celebration patriotism underline narrative,0,Imdb
1246,actress worse used june allison movie,0,Imdb
1247,yet enjoy watching,1,Imdb
1248,unfortunately bad movie plain bad,0,Imdb
1249,bad script bad direction horrible acting make one plain bad,0,Imdb
1250,dialogue sucked,0,Imdb
1251,cinematography called sucked,0,Imdb
1252,soundtrack sucked,0,Imdb
1253,acting sucked,0,Imdb
1254,concert sequence sucked,0,Imdb
1255,nice,1,Imdb
1256,funny,1,Imdb
1257,funny,1,Imdb
1258,overall movie cheap trash,0,Imdb
1259,movie funny considering ridiculousness,0,Imdb
1260,came feeling angry,0,Imdb
1261,spoiler whatever else said surface superbly crafted,1,Imdb
1262,cinematography simply stunning say least fx nothing state art,1,Imdb
1263,conceptually show offer little bit everything everybody parent kid fantasy fx fan,1,Imdb
1264,single sour note struck acting wise either surprisingly solid casting,1,Imdb
1265,thing considered job well done,1,Imdb
1266,thanks good movie like done released,1,Imdb
1267,one best mexican movie ever one less understood even mexican matter identified felt,1,Imdb
1268,rank highly great noir crime drama incredible performance belmondo lino ventura,1,Imdb
1269,attention given every character complex psychological portrayal detailing loyalty treachery love hope tremendous,1,Imdb
1270,excellent drama excellent thriller excellent film,1,Imdb
1271,best melville,1,Imdb
1272,everything film simply incredible,1,Imdb
1273,truly take journey eye soul child,1,Imdb
1274,black water thriller manages completely transcend limitation indie flick continually subverting expectation emerge intense experience,1,Imdb
1275,performance real gripping crocdodile extremely well done indeed black water website believed used real crocs swamp location fabulous,1,Imdb
1276,thoroughly enjoyed christopher eccleston took control tardis continuation series,1,Imdb
1277,sure trying film,0,Imdb
1278,turn good day feeling night disturbing memory guess succeeded,0,Imdb
1279,lot beautiful place,1,Imdb
1280,forced like everything movie,0,Imdb
1281,lame,0,Imdb
1282,movie really pi ed,0,Imdb
1283,even get started jerky camerawork,0,Imdb
1284,saw theater thought going sick,0,Imdb
1285,summary witticism witty,0,Imdb
1286,plot well said let one go,0,Imdb
1287,acting bad,0,Imdb
1288,really bad,0,Imdb
1289,even billy bob rise script worse,0,Imdb
1290,camerawork bad,0,Imdb
1291,rating ten,0,Imdb
1292,amazing finale possibly best trilogy time,1,Imdb
1293,kieslowski never cease amaze,1,Imdb
1294,one favourite director one talented director history cinema,1,Imdb
1295,use colour french flag three film nothing short incredible every shot every scene like work art,1,Imdb
1296,three visually appealing movie ever seen,1,Imdb
1297,subtle connection three film awesome,1,Imdb
1298,mention huge spoiler loved ending character three film remaining survivor ferry disaster valentine young judge together old man watching tv solidifying happiness suffering dealt many year,1,Imdb
1299,think better way end film smile face great way wrap amazing film trilogy,1,Imdb
1300,recommend everyone love film movie anything work art,1,Imdb
1301,ten ten movie trilogy,1,Imdb
1302,literally vomited watching film,0,Imdb
1303,think one people found another one roth pearl,1,Imdb
1304,performance awarded stunning,1,Imdb
1305,story told eloquently francis ford coppola year earlier really unfolds gradually leaf room character develop,1,Imdb
1306,wonderful location lie story contrast,1,Imdb
1307,beautiful directed film nicola roeg wih sublime cast,1,Imdb
1308,translating movie living first movie five year working experience found offensive intelligence,0,Imdb
1309,someone strives greatness poetry delivers muddled often ridiculous story bunch disparate scene pretentious dialogue get worst kind movie reviewer accurately defined pretentious crap,0,Imdb
1310,find movie intelligent even masterful say intelligence imagination obviously used try make sense pitiful attempt human nature try make sense thing,0,Imdb
1311,one thing tolerate political incorrectness well artistic freedom suspension disbelief slavic female character much,0,Imdb
1312,fun funny movie,1,Imdb
1313,highly entertaining angle,1,Imdb
1314,feature outlandish array memorable psychotic lovable nut,1,Imdb
1315,enjoyment get see run around play game dangerous,1,Imdb
1316,even sweet moment,1,Imdb
1317,telephone repair man really funny reaction nut bitchy bos truly genuine,1,Imdb
1318,character film tremendously well played,1,Imdb
1319,really find funny,1,Imdb
1320,actually smart movie,1,Imdb
1321,brilliant twist ending,1,Imdb
1322,love,1,Imdb
1323,ending perfect shed tear,1,Imdb
1324,thrilled seeing movie like,1,Imdb
1325,never forget,1,Imdb
1326,cult cult classic,1,Imdb
1327,depth character man underneath,0,Imdb
1328,malta setting dry barren dialogue,0,Imdb
1329,movie terrible,0,Imdb
